Sample_ID,Temperature_C,Age_Ma,Eu_Anomaly,Ce_Anomaly
25LC2,753.1565917,105,0.326275357,1.123846967
25LC2,789.2978734,100,0.500950087,1.382907919
25LC2,780.6774368,102,0.60568146,1.092048928
25LC2,778.7298582,94,0.397206944,1.127663983
,,,,
25LV1,840.2170092,77,1.511640211,1.837313166
25LV1,826.3166386,73,1.485406833,1.545943355
25LV1,814.262448,70,1.238165671,1.556940439
25LV1,761.5357559,71,1.261616521,1.620344357
25LV1,798.8639121,72,1.337586258,1.503046695
25LV1,803.0858593,68,1.265301609,1.243818916
25LV1,768.6447732,76,1.165472938,1.453090598
25LV1,775.7739672,75,1.332022183,1.195008178
25LV1,750.7342791,75,1.285085558,1.540006006
25LV1,785.0900503,74,1.41736514,1.549125754
25LV1,759.0824277,78,1.044414131,1.37528143
25LV1,736.3043435,79,1.326301633,1.2194652
25LV1,764.1869935,68,1.238378515,1.218944408
25LV1,753.1862085,78,1.317408731,1.288398586
25LV1,741.2944116,74,1.234472997,1.217419844
25LV1,813.8507575,78,1.162741426,1.653351514
25LV1,751.7969541,65,1.295820768,1.215154375
25LV1,716.3329143,74,1.267195582,1.363287151
25LV1,718.81711,84,1.28013208,1.69035917
25LV1,712.7325579,73,1.267071646,1.299284114
25LV1,709.2508933,76,1.196412211,1.181382003
25LV1,806.9125961,58,1.212739624,1.369462297
25LV1,697.7415137,76,1.48980318,1.237615497
25LV1,798.4356666,76,1.044665103,1.501967955
25LV1,726.7622381,81,1.006881576,1.260982086
25LV1,785.0900503,65,1.217411219,1.603655482
